exame,metodologia,agravo_requisicao,n_registros,marcador,classe,conta_alerta_agudo,conta_bortman,conta_positividade_agregada,validacao_ms,fonte,nota_pt
"Malária, Biologia Molecular",PCR em Tempo Real,MALÁRIA,6,malaria,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Malária molecular: presença do Plasmodium — notificar/investigar.
"Sarampo, Biologia Molecular",RT-PCR em tempo real,SARAMPO,6,IgM_ou_PCR,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sarampo IgM/PCR: sinal de infecção recente — investigar imediatamente.
"Norovírus, Biologia Molecular",RT-PCR em tempo real,ROTAVÍRUS,6,PCR_gastro,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Agente diarréico molecular: presença — investigar surto institucional se cluster.
Influenza,RT-PCR em tempo real,COVID-19,6,painel_respiratorio,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Vírus respiratórios/influenza: presença/ausência — não declarar epidemia só com positividade.
"Citomegalovírus, IgG Avidez",Imunoensaio de Micropartículas por Quimioluminescência,TOXOPLASMOSE,5,avidez_IgG,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Avidez IgG CMV: apoio à interpretação de infecção recente.
"Rubéola, IgG",Enzimaimunoensaio,SARAMPO,5,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Rubéola IgG: imunidade — não alerta agudo.
Parvovírus B19 - IgG,Enzimaimunoensaio,PARVOVIROSE,5,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Parvovírus IgG: passado — não alerta agudo.
Parvovírus B19 - IgM,Enzimaimunoensaio,PARVOVIROSE,5,IgM,sinal_agudo_ou_ativo,true,false,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Parvovírus IgM: infecção recente possível.
"Rotavírus, Biologia Molecular",RT-PCR em tempo real,ROTAVÍRUS,5,PCR_gastro,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Agente diarréico molecular: presença — investigar surto institucional se cluster.
Leptospirose,Teste de Aglutinação Microscópica (MAT) .,LEPTOSPIROSE,5,MAT,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,MAT leptospirose: confirmação sorológica — sinal para VE.
"Rubéola, IgM",Enzimaimunoensaio,SARAMPO,5,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Rubéola IgM: infecção recente possível — investigar.
"Borreliose, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,BARTONELOSE,4,PCR_borrelia,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Borreliose molecular: presença — investigar.
"Bactérias, Teste de Sensibilidade II",Teste de Sensibilidade,INFECÇÃO/COLONIZAÇÃO,4,resistencia,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Resistência antimicrobiana: vigilância hospitalar — não % epidêmica municipal.
"Esquistossomose, Sorologia",Enzimaimunoensaio,ESQUISTOSSOMOSE,3,sorologia,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Esquistossomose sorologia: exposição — Kato-Katz confirma carga.
"Sarampo, IgM",Enzimaimunoensaio,SARAMPO,3,IgM_ou_PCR,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sarampo IgM/PCR: sinal de infecção recente — investigar imediatamente.
"Sarampo, IgG",Enzimaimunoensaio,SARAMPO,3,IgG,nao_agudo_soroprevalencia,false,false,false,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Sarampo IgG: imunidade/passado — não alerta agudo.
"Meningite Bacteriana, TSA",Teste de Sensibilidade,MENINGITE,3,tipagem_meningite,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Tipagem/TSA meningite: apoio laboratorial — cluster exige clínica+VE.
Pesquisa Qualitativa do DNA do Citomegalovírus,Nested PCR,CITOMEGALOVÍRUS,3,CMV_DNA,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,DNA CMV: presença/ausência — confirmatório.
"Adenovírus Entéricos, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,DENGUE,3,PCR_gastro,molecular_presenca_ausencia,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Agente diarréico molecular: presença — investigar surto institucional se cluster.
"Leishmaniose Tegumentar Americana, IgG",Enzimaimunoensaio,LEISHMANIOSE TEGUMENTAR AMERICANA,3,IgG,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,LT IgG: exposição — não alerta epidêmico isolado.
"Hepatite D, pesquisa quantitativa do RNA HDV",RT-PCR em tempo real,HEPATITES VIRAIS,3,HDV_RNA,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,RNA HDV: presença/ausência — contextualizar com HBV.
Pesquisa de Carbapenemases,Testes Fenotípicos,INFECÇÃO/COLONIZAÇÃO,2,resistencia,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Resistência antimicrobiana (carbapenemases/genes): vigilância hospitalar — não % epidêmica municipal.
"Febre Amarela, IgM",Enzimaimunoensaio,FEBRE AMARELA,2,IgM,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,IgM Febre Amarela: infecção recente — sinal para a VE.
"Bactérias, Identificação",Identificação,BACTEREMIA,2,cultura_bacteriana,indeterminado,false,false,false,parcial,revisar_area_tecnica — sem definição aguda inequívoca no nome,Cultura/ID bacteriana: operacional/assistencial — fora do cartão epidemia CIEVS.
Bordetella,PCR em Tempo Real,COQUELUCHE,2,PCR_coqueluche,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Bordetella/coqueluche PCR: presença — investigar contatos.
Hanseníase,Coloração de Ziehl Gabbet,HANSENÍASE,2,BAAR_hanseniase,sinal_agudo_ou_ativo,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Baciloscopia hanseníase: sinal laboratorial ativo — VE/SINAN.
"Hidatidose, IgG",Immunoblot,HIDATIDOSE,2,IgG,nao_agudo_soroprevalencia,false,false,false,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Hidatidose IgG: exposição — confirmar clínica/imagem.
"Febre Maculosa, Biologia Molecular",PCR – Reação em Cadeia de Polimerase,FEBRE MACULOSA / RICKETTSIOSES,1,PCR_rickettsia,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,PCR febre maculosa: presença — investigar (doença de notificação).
"Filariose, Parasitológico",Gota Espessa,FILARIOSE,1,filariose,sinal_agudo_ou_ativo,true,true,true,parcial,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Filariose (antígeno/parasitológico): sinal laboratorial — investigar.
"Coqueluche, Detecção de Bordetella pertussis",PCR em Tempo Real,COQUELUCHE,1,PCR_coqueluche,molecular_presenca_ausencia,true,true,true,ok,Guia MS / notificaveis_resumo / Positividade_Por_Agravo_GAL,Bordetella/coqueluche PCR: presença — investigar contatos.
