municipio,sinal,motivo,prioridade,acao_sugerida,responsavel,prazo_acao,checklist_operacional,agravo_alvo,exames,positividade,score
GUAIRA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,"Validar positivos de hepatite, revisar tendência e reforçar testagem/encaminhamento em 7 dias.",Vigilância de hepatites + LACEN,7 dias,1) Revisar positivos HBV/HCV; 2) Checar encaminhamento clínico; 3) Avaliar cobertura de testagem,hepatite_b_hbv,1.0,1.0,4.0
NOVA LACERDA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,"Validar positivos de hepatite, revisar tendência e reforçar testagem/encaminhamento em 7 dias.",Vigilância de hepatites + LACEN,7 dias,1) Revisar positivos HBV/HCV; 2) Checar encaminhamento clínico; 3) Avaliar cobertura de testagem,hepatite_c_hcv,1.0,1.0,4.0
SORRISO,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Ativar busca ativa de TB e validar fluxo de coleta/envio ao LACEN em até 48h.,Vigilância municipal de TB + LACEN,48h,1) Confirmar amostra no GAL; 2) Articular busca de sintomáticos; 3) Verificar baciloscopia/LF-LAM pendentes,tuberculose_lf_lam,1.0,1.0,4.0
CACERES,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,"Validar positivos de hepatite, revisar tendência e reforçar testagem/encaminhamento em 7 dias.",Vigilância de hepatites + LACEN,7 dias,1) Revisar positivos HBV/HCV; 2) Checar encaminhamento clínico; 3) Avaliar cobertura de testagem,hepatite_c_hcv,1.0,1.0,4.0
JURUTI,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Acompanhar indicadores e reavaliar na próxima janela epidemiológica.,Vigilância municipal,próxima SE,1) Acompanhar indicadores; 2) Reavaliar na próxima janela epidemiológica,pesquisa_de_multipatogenos_ist,2.0,0.5,4.0
CACERES,alerta_laboratorial,Aumento simultâneo de positividade e solicitações,CRÍTICO,"Validar positivos de hepatite, revisar tendência e reforçar testagem/encaminhamento em 7 dias.",Vigilância de hepatites + LACEN,7 dias,1) Revisar positivos HBV/HCV; 2) Checar encaminhamento clínico; 3) Avaliar cobertura de testagem,hepatite_b_hbv,3.0,1.0,4.0
CAMPO NOVO DO PARECIS,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,"Validar positivos de hepatite, revisar tendência e reforçar testagem/encaminhamento em 7 dias.",Vigilância de hepatites + LACEN,7 dias,1) Revisar positivos HBV/HCV; 2) Checar encaminhamento clínico; 3) Avaliar cobertura de testagem,hepatite_b_hbv,1.0,1.0,4.0
TANGARA DA SERRA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Ativar busca ativa de TB e validar fluxo de coleta/envio ao LACEN em até 48h.,Vigilância municipal de TB + LACEN,48h,1) Confirmar amostra no GAL; 2) Articular busca de sintomáticos; 3) Verificar baciloscopia/LF-LAM pendentes,tuberculose_lf_lam,1.0,1.0,4.0
CUIABA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Ativar busca ativa de TB e validar fluxo de coleta/envio ao LACEN em até 48h.,Vigilância municipal de TB + LACEN,48h,1) Confirmar amostra no GAL; 2) Articular busca de sintomáticos; 3) Verificar baciloscopia/LF-LAM pendentes,tuberculose_lf_lam,2.0,0.5,4.0
CUIABA,alerta_laboratorial,Aumento relevante de positividade,CRÍTICO,Ativar busca ativa de TB e validar fluxo de coleta/envio ao LACEN em até 48h.,Vigilância municipal de TB + LACEN,48h,1) Confirmar amostra no GAL; 2) Articular busca de sintomáticos; 3) Verificar baciloscopia/LF-LAM pendentes,rifampicina,3.0,0.3333333333333333,4.0
